username, created_at, lng, lat, text,,,,
thepbg, Thu Apr 23 21:17:28 +0000 2020,-76.964999,38.942774, @lenubienne Why is this so loud and all up my business?? ,,,,
manduhrose, Thu Apr 23 21:17:28 +0000 2020,-79.27257,43.629311, The amount of pasta I’ve eaten during quarantine should be illegal. I’m literally one giant noodle. ,,,,
biddlebrian, Thu Apr 23 21:17:28 +0000 2020,-87.732013,41.833585, @ActuallyRob80 Yeah I appreciate him leading our state for sure! ,,,,
SoCal_G24, Thu Apr 23 21:17:28 +0000 2020,-112.379447,33.646654, @CashApp help me out! $nicgeo213 ,,,,
_beenykole_, Thu Apr 23 21:17:28 +0000 2020,-89.922029,35.133521, @Real_BigDee ,,,,
FullTyme, Thu Apr 23 21:17:28 +0000 2020,-80.656155,35.080046, Enjoying this smooth smoke https://t.co/0V2sMl43Xl ,,,,
FanTastik_Ra, Thu Apr 23 21:17:28 +0000 2020,-95.446486,29.838495, I wanna see my homies rich forever ,,,,
janay3345, Thu Apr 23 21:17:28 +0000 2020,-98.422527,34.62096, Ugh my feet hurt and they’re swollen 😩 ,,,,
drewdixonxxx, Thu Apr 23 21:17:28 +0000 2020,-73.723025,45.55783, @MommaMalifacent @corykanexxx @cockyboys Hope you enjoy it 🔥 ,,,,
dawn_arianna, Thu Apr 23 21:17:28 +0000 2020,-89.266508,39.7393, Hermano?!!?!?! ,,,,
c227bfcf974840f, Thu Apr 23 21:17:28 +0000 2020,-83.026989,42.492846, @TaraStafford Sorry for your loss Thoughts and prayers for the family. ,,,,
httpsvge, Thu Apr 23 21:17:28 +0000 2020,-83.173867,32.678207, @bessemfatou remind me to like this in like 30 minutes ,,,,
JstMyThghts901, Thu Apr 23 21:17:29 +0000 2020,-86.851177,35.935017, @mrboro615 And consume carbs ! ,,,,
naiahat, Thu Apr 23 21:17:29 +0000 2020,-157.975829,21.344749, Look at these thugs ,,,,
mvddm, Thu Apr 23 21:17:29 +0000 2020,-122.435979,37.770657, @somuchpie Iconic ,,,,
dattrukfitkid, Thu Apr 23 21:17:29 +0000 2020,-83.41803,30.46776, Being a nurse in the healthcare field right now is rough🤦‍♂️, I been working my ass off🤧💯 ,,,
NateHan_sen, Thu Apr 23 21:17:29 +0000 2020,-100.247165,44.212508, @PaulJStoddard1 Stand back he fixing to do something ,,,,
ayoitsalex14, Thu Apr 23 21:17:29 +0000 2020,-82.063185,33.440717, Always heard of point point point , fuck around and ima really go to the point 😂 ,,,
Toby_Metcalf, Thu Apr 23 21:17:29 +0000 2020,-71.354331,42.285584, Hey Chef @hseanbrock - some Turkey for you https://t.co/YpTwgSPdri ,,,,
MitchBurrow, Thu Apr 23 21:17:29 +0000 2020,-118.411907,34.020789, As a door guy at @TheComedyStore I know these are the ladies I’m going to be kicking out of the show...and then tak… https://t.co/BvIsjBGfGP ,,,,
Sportsworld716, Thu Apr 23 21:17:29 +0000 2020,-78.88398,43.07557, https://t.co/3pDrCWLNb3 ,,,,
tjurk44, Thu Apr 23 21:17:29 +0000 2020,-115.135165,36.060964, @BrianWoods1969 @NoGTO03 This is like watching a car crash in slow motion. ,,,,
tiedyetyler_, Thu Apr 23 21:17:29 +0000 2020,-85.9786,35.830522, @thatsoberhippie Bro you are actually right on this big facts ,,,,
